deputado_id,nome,idLegislaturaInicial,idLegislaturaFinal,siglaSexo,betweenness_centrality,eigenvecto_centrality,Frentes
160508,Afonso Florence,54,56,M,0.0,3.9074932244178144e-11,155
160510,Luis Tibe,54,56,M,0.0,3.9074932244178144e-11,112
160511,Alessandro Molon,54,56,M,0.0,3.9074932244178144e-11,42
160512,Aureo Ribeiro,54,56,M,0.0,3.9074932244178144e-11,242
160518,Weliton Prado,54,56,M,0.0,3.9074932244178144e-11,230
160527,Aguinaldo Ribeiro,54,56,M,0.0,3.9074932244178144e-11,166
160528,Danilo Cabral,54,56,M,0.0,3.9074932244178144e-11,38
160531,Jhonatan de Jesus,54,56,M,0.0,3.9074932244178144e-11,193
160532,Eli Correa Filho,54,56,M,0.0,3.9074932244178144e-11,182
160534,Lauriete,54,56,F,0.0,3.9074932244178144e-11,0
160535,Marcon,54,56,M,0.0,3.9074932244178144e-11,204
160538,Bohn Gass,54,56,M,0.0,3.9074932244178144e-11,101
160541,Arthur Lira,54,56,M,0.0,3.9074932244178144e-11,159
160545,Alexandre Leite,54,56,M,0.00041090398973124976,0.06274422316026852,139
160552,Danrlei de Deus Hinterholz,54,56,M,0.0,3.9074932244178144e-11,41
160553,Antonio Brito,54,56,M,0.0,3.9074932244178144e-11,88
160556,Padre Joao,54,56,M,0.0,3.9074932244178144e-11,228
160558,Paulo Freire Costa,54,56,M,0.0,3.9074932244178144e-11,224
160559,Alceu Moreira,54,56,M,0.0,3.9074932244178144e-11,167
160569,Waldenor Pereira,54,56,M,0.0,3.9074932244178144e-11,159
160570,Jeronimo Goergen,54,56,M,0.0,3.9074932244178144e-11,184
160575,Erika Kokay,54,56,F,0.0011913992161728287,0.07923425899604299,164
160587,Fabio Trad,54,56,M,0.002705760130888364,0.1803274628818375,17
160588,Diego Andrade,54,56,M,0.0,3.9074932244178144e-11,136
160589,Bruna Furlan,54,56,F,0.0,3.9074932244178144e-11,15
160592,Zeca Dirceu,54,56,M,0.0,3.9074932244178144e-11,198
160598,Flavia Morais,54,56,F,0.0,3.9074932244178144e-11,151
160599,Dimas Fabiano,54,56,M,0.0,3.9074932244178144e-11,33
